song	artist	rank	date
ME!	Taylor Swift Featuring Brendon Urie	58	2019-08-31
You Need To Calm Down	Taylor Swift	4	2019-09-07
Lover	Taylor Swift	10	2019-09-07
ME!	Taylor Swift Featuring Brendon Urie	11	2019-09-07
The Man	Taylor Swift	23	2019-09-07
I Forgot That You Existed	Taylor Swift	28	2019-09-07
Cruel Summer	Taylor Swift	29	2019-09-07
The Archer	Taylor Swift	38	2019-09-07
Paper Rings	Taylor Swift	45	2019-09-07
Miss Americana & The Heartbreak Prince	Taylor Swift	49	2019-09-07
I Think He Knows	Taylor Swift	51	2019-09-07
Cornelia Street	Taylor Swift	57	2019-09-07
London Boy	Taylor Swift	62	2019-09-07
Soon You'll Get Better	Taylor Swift Featuring Dixie Chicks	63	2019-09-07
Death By A Thousand Cuts	Taylor Swift	67	2019-09-07
Afterglow	Taylor Swift	75	2019-09-07
False God	Taylor Swift	77	2019-09-07
Daylight	Taylor Swift	89	2019-09-07
It's Nice To Have A Friend	Taylor Swift	92	2019-09-07
You Need To Calm Down	Taylor Swift	12	2019-09-14
Lover	Taylor Swift	23	2019-09-14
ME!	Taylor Swift Featuring Brendon Urie	54	2019-09-14
The Man	Taylor Swift	61	2019-09-14
Cruel Summer	Taylor Swift	71	2019-09-14
I Forgot That You Existed	Taylor Swift	74	2019-09-14
You Need To Calm Down	Taylor Swift	24	2019-09-21
Lover	Taylor Swift	49	2019-09-21
The Man	Taylor Swift	96	2019-09-21
You Need To Calm Down	Taylor Swift	21	2019-09-28
Lover	Taylor Swift	49	2019-09-28
You Need To Calm Down	Taylor Swift	23	2019-10-05
Lover	Taylor Swift	44	2019-10-05
You Need To Calm Down	Taylor Swift	27	2019-10-12
Lover	Taylor Swift	45	2019-10-12
You Need To Calm Down	Taylor Swift	28	2019-10-19
Lover	Taylor Swift	34	2019-10-19
You Need To Calm Down	Taylor Swift	33	2019-10-26
Lover	Taylor Swift	37	2019-10-26
You Need To Calm Down	Taylor Swift	37	2019-11-02
Lover	Taylor Swift	38	2019-11-02
Lover	Taylor Swift	48	2019-11-09
You Need To Calm Down	Taylor Swift	52	2019-11-09
Lover	Taylor Swift	43	2019-11-16
You Need To Calm Down	Taylor Swift	46	2019-11-16
Lover	Taylor Swift	26	2019-11-23
Lover	Taylor Swift	15	2019-11-30
Lover	Taylor Swift	19	2019-12-07
Lover	Taylor Swift	32	2019-12-14
Lover	Taylor Swift	40	2019-12-21
Christmas Tree Farm	Taylor Swift	59	2019-12-21
Lover	Taylor Swift	48	2019-12-28
Lover	Taylor Swift	57	2020-01-04
Lover	Taylor Swift	34	2020-01-11
Lover	Taylor Swift	36	2020-01-18
Lover	Taylor Swift	50	2020-01-25
Only The Young	Taylor Swift	50	2020-02-15
The Man	Taylor Swift	92	2020-03-07
The Man	Taylor Swift	85	2020-03-14
The Man	Taylor Swift	90	2020-04-11
The Man	Taylor Swift	88	2020-04-18
The Man	Taylor Swift	88	2020-04-25
Cardigan	Taylor Swift	1	2020-08-08
The 1	Taylor Swift	4	2020-08-08
Exile	Taylor Swift Featuring Bon Iver	6	2020-08-08
The Last Great American Dynasty	Taylor Swift	13	2020-08-08
My Tears Ricochet	Taylor Swift	16	2020-08-08
August	Taylor Swift	23	2020-08-08
Mirrorball	Taylor Swift	26	2020-08-08
Seven	Taylor Swift	35	2020-08-08
Invisible String	Taylor Swift	37	2020-08-08
This Is Me Trying	Taylor Swift	39	2020-08-08
Betty	Taylor Swift	42	2020-08-08
Illicit Affairs	Taylor Swift	44	2020-08-08
Mad Woman	Taylor Swift	47	2020-08-08
Epiphany	Taylor Swift	57	2020-08-08
Peace	Taylor Swift	58	2020-08-08
Hoax	Taylor Swift	71	2020-08-08
Cardigan	Taylor Swift	8	2020-08-15
The 1	Taylor Swift	23	2020-08-15
Exile	Taylor Swift Featuring Bon Iver	36	2020-08-15
The Last Great American Dynasty	Taylor Swift	66	2020-08-15
My Tears Ricochet	Taylor Swift	69	2020-08-15
August	Taylor Swift	73	2020-08-15
Invisible String	Taylor Swift	85	2020-08-15
Betty	Taylor Swift	91	2020-08-15
Mirrorball	Taylor Swift	93	2020-08-15
Seven	Taylor Swift	98	2020-08-15
Cardigan	Taylor Swift	24	2020-08-22
The 1	Taylor Swift	50	2020-08-22
Exile	Taylor Swift Featuring Bon Iver	61	2020-08-22
Cardigan	Taylor Swift	33	2020-08-29
The 1	Taylor Swift	67	2020-08-29
Exile	Taylor Swift Featuring Bon Iver	82	2020-08-29
Cardigan	Taylor Swift	36	2020-09-05
The 1	Taylor Swift	85	2020-09-05
Exile	Taylor Swift Featuring Bon Iver	98	2020-09-05
Cardigan	Taylor Swift	45	2020-09-12
The 1	Taylor Swift	92	2020-09-12
Cardigan	Taylor Swift	52	2020-09-19
Cardigan	Taylor Swift	52	2020-09-26
Cardigan	Taylor Swift	49	2020-10-03
Cardigan	Taylor Swift	53	2020-10-10
Cardigan	Taylor Swift	77	2020-10-17
Cardigan	Taylor Swift	85	2020-10-24
Cardigan	Taylor Swift	88	2020-10-31
Cardigan	Taylor Swift	96	2020-11-07
Willow	Taylor Swift	1	2020-12-26
Champagne Problems	Taylor Swift	21	2020-12-26
No Body, No Crime	Taylor Swift Featuring HAIM	34	2020-12-26
'Tis The Damn Season	Taylor Swift	39	2020-12-26
Gold Rush	Taylor Swift	40	2020-12-26
Tolerate It	Taylor Swift	45	2020-12-26
Happiness	Taylor Swift	52	2020-12-26
Evermore	Taylor Swift Featuring Bon Iver	57	2020-12-26
Ivy	Taylor Swift	61	2020-12-26
Coney Island	Taylor Swift Featuring The National	63	2020-12-26
Dorothea	Taylor Swift	67	2020-12-26
Long Story Short	Taylor Swift	68	2020-12-26
Cowboy Like Me	Taylor Swift	71	2020-12-26
Marjorie	Taylor Swift	75	2020-12-26
Closure	Taylor Swift	82	2020-12-26
Willow	Taylor Swift	38	2021-01-02
Champagne Problems	Taylor Swift	77	2021-01-02
'Tis The Damn Season	Taylor Swift	91	2021-01-02
No Body, No Crime	Taylor Swift Featuring HAIM	97	2021-01-02
Willow	Taylor Swift	23	2021-01-09
Willow	Taylor Swift	22	2021-01-16
Willow	Taylor Swift	29	2021-01-23
Willow	Taylor Swift	28	2021-01-30
Willow	Taylor Swift	28	2021-02-06
Willow	Taylor Swift	29	2021-02-13
Willow	Taylor Swift	29	2021-02-20
Love Story (Taylor's Version)	Taylor Swift	11	2021-02-27
Willow	Taylor Swift	25	2021-02-27
Willow	Taylor Swift	29	2021-03-06
Willow	Taylor Swift	32	2021-03-13
Willow	Taylor Swift	42	2021-03-20
Willow	Taylor Swift	39	2021-03-27
Willow	Taylor Swift	50	2021-04-03
You All Over Me (Taylor's Version) (From The Vault)	Taylor Swift Featuring Maren Morris	51	2021-04-10
Willow	Taylor Swift	59	2021-04-10
Willow	Taylor Swift	60	2021-04-17
Mr. Perfectly Fine (Taylor's Version) (From The Vault)	Taylor Swift	90	2021-04-17
Mr. Perfectly Fine (Taylor's Version) (From The Vault)	Taylor Swift	30	2021-04-24
Love Story (Taylor's Version)	Taylor Swift	52	2021-04-24
Willow	Taylor Swift	62	2021-04-24
Forever & Always (Taylor's Version)	Taylor Swift	65	2021-04-24
Fearless (Taylor's Version)	Taylor Swift	71	2021-04-24
You All Over Me (Taylor's Version) (From The Vault)	Taylor Swift Featuring Maren Morris	72	2021-04-24
You Belong With Me (Taylor's Version)	Taylor Swift	75	2021-04-24
Fifteen (Taylor's Version)	Taylor Swift	88	2021-04-24
The Way I Loved You (Taylor's Version)	Taylor Swift	94	2021-04-24
Willow	Taylor Swift	60	2021-05-01
Mr. Perfectly Fine (Taylor's Version) (From The Vault)	Taylor Swift	90	2021-05-01
Willow	Taylor Swift	61	2021-05-08
Renegade	Big Red Machine Featuring Taylor Swift	73	2021-07-17
Wildest Dreams (Taylor's Version)	Taylor Swift	37	2021-10-02
All Too Well (Taylor's Version)	Taylor Swift	1	2021-11-27
State Of Grace (Taylor's Version)	Taylor Swift	18	2021-11-27
I Bet You Think About Me (Taylor's Version) (From The Vault)	Taylor Swift Featuring Chris Stapleton	22	2021-11-27
Red (Taylor's Version)	Taylor Swift	25	2021-11-27
Nothing New (Taylor's Version) (From The Vault)	Taylor Swift Featuring Phoebe Bridgers	43	2021-11-27
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	45	2021-11-27
I Knew You Were Trouble (Taylor's Version)	Taylor Swift	46	2021-11-27
Run (Taylor's Version) (From The Vault)	Taylor Swift Featuring Ed Sheeran	47	2021-11-27
Better Man (Taylor's Version) (From The Vault)	Taylor Swift	51	2021-11-27
22 (Taylor's Version)	Taylor Swift	52	2021-11-27
Treacherous (Taylor's Version)	Taylor Swift	54	2021-11-27
We Are Never Ever Getting Back Together (Taylor's Version)	Taylor Swift	55	2021-11-27
I Almost Do (Taylor's Version)	Taylor Swift	59	2021-11-27
The Very First Night (Taylor's Version) (From The Vault)	Taylor Swift	61	2021-11-27
Everything Has Changed (Taylor's Version)	Taylor Swift Featuring Ed Sheeran	63	2021-11-27
The Last Time (Taylor's Version)	Taylor Swift Featuring Gary Lightbody Of Snow Patrol	66	2021-11-27
Stay Stay Stay (Taylor's Version)	Taylor Swift	67	2021-11-27
Babe (Taylor's Version) (From The Vault)	Taylor Swift	69	2021-11-27
Holy Ground (Taylor's Version)	Taylor Swift	76	2021-11-27
Begin Again (Taylor's Version)	Taylor Swift	77	2021-11-27
Forever Winter (Taylor's Version) (From The Vault)	Taylor Swift	79	2021-11-27
The Moment I Knew (Taylor's Version)	Taylor Swift	83	2021-11-27
The Lucky One (Taylor's Version)	Taylor Swift	84	2021-11-27
Sad Beautiful Tragic (Taylor's Version)	Taylor Swift	85	2021-11-27
Come Back...Be Here (Taylor's Version)	Taylor Swift	87	2021-11-27
Starlight (Taylor's Version)	Taylor Swift	90	2021-11-27
All Too Well (Taylor's Version)	Taylor Swift	4	2021-12-04
I Bet You Think About Me (Taylor's Version) (From The Vault)	Taylor Swift Featuring Chris Stapleton	70	2021-12-04
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	74	2021-12-04
Red (Taylor's Version)	Taylor Swift	86	2021-12-04
State Of Grace (Taylor's Version)	Taylor Swift	88	2021-12-04
All Too Well (Taylor's Version)	Taylor Swift	21	2021-12-11
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	78	2021-12-11
Christmas Tree Farm (Old Timey Version)	Taylor Swift	82	2021-12-11
All Too Well (Taylor's Version)	Taylor Swift	42	2021-12-18
Christmas Tree Farm (Old Timey Version)	Taylor Swift	74	2021-12-18
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	82	2021-12-18
All Too Well (Taylor's Version)	Taylor Swift	59	2021-12-25
Christmas Tree Farm (Old Timey Version)	Taylor Swift	81	2021-12-25
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	89	2021-12-25
Christmas Tree Farm (Old Timey Version)	Taylor Swift	62	2022-01-01
All Too Well (Taylor's Version)	Taylor Swift	68	2022-01-01
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	93	2022-01-01
All Too Well (Taylor's Version)	Taylor Swift	66	2022-01-08
Christmas Tree Farm (Old Timey Version)	Taylor Swift	69	2022-01-08
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	80	2022-01-08
All Too Well (Taylor's Version)	Taylor Swift	55	2022-01-15
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	63	2022-01-15
All Too Well (Taylor's Version)	Taylor Swift	82	2022-01-22
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	88	2022-01-22
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	73	2022-01-29
All Too Well (Taylor's Version)	Taylor Swift	74	2022-01-29
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	57	2022-02-05
All Too Well (Taylor's Version)	Taylor Swift	77	2022-02-05
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	61	2022-02-12
All Too Well (Taylor's Version)	Taylor Swift	75	2022-02-12
Message In A Bottle (Taylor's Version) (From The Vault)	Taylor Swift	68	2022-02-19
All Too Well (Taylor's Version)	Taylor Swift	84	2022-02-19
The Joker And The Queen	Ed Sheeran Featuring Taylor Swift	21	2022-02-26
All Too Well (Taylor's Version)	Taylor Swift	96	2022-02-26
The Joker And The Queen	Ed Sheeran Featuring Taylor Swift	64	2022-03-05
All Too Well (Taylor's Version)	Taylor Swift	99	2022-03-05
The Joker And The Queen	Ed Sheeran Featuring Taylor Swift	75	2022-03-12
This Love (Taylor's Version)	Taylor Swift	50	2022-05-21
Carolina	Taylor Swift	60	2022-07-09
Anti-Hero	Taylor Swift	1	2022-11-05
Lavender Haze	Taylor Swift	2	2022-11-05
Maroon	Taylor Swift	3	2022-11-05
Snow On The Beach	Taylor Swift Featuring Lana Del Rey	4	2022-11-05
Midnight Rain	Taylor Swift	5	2022-11-05
Bejeweled	Taylor Swift	6	2022-11-05
Question...?	Taylor Swift	7	2022-11-05
You're On Your Own, Kid	Taylor Swift	8	2022-11-05
Karma	Taylor Swift	9	2022-11-05
Vigilante Shit	Taylor Swift	10	2022-11-05
Mastermind	Taylor Swift	13	2022-11-05
Labyrinth	Taylor Swift	14	2022-11-05
Sweet Nothing	Taylor Swift	15	2022-11-05
Would've, Could've, Should've	Taylor Swift	20	2022-11-05
Bigger Than The Whole Sky	Taylor Swift	21	2022-11-05
The Great War	Taylor Swift	26	2022-11-05
Paris	Taylor Swift	32	2022-11-05
High Infidelity	Taylor Swift	33	2022-11-05
Glitch	Taylor Swift	41	2022-11-05
Dear Reader	Taylor Swift	45	2022-11-05
Anti-Hero	Taylor Swift	1	2022-11-12
Lavender Haze	Taylor Swift	6	2022-11-12
Midnight Rain	Taylor Swift	7	2022-11-12
Bejeweled	Taylor Swift	9	2022-11-12
Maroon	Taylor Swift	12	2022-11-12
Snow On The Beach	Taylor Swift Featuring Lana Del Rey	16	2022-11-12
Karma	Taylor Swift	17	2022-11-12
You're On Your Own, Kid	Taylor Swift	20	2022-11-12
Vigilante Shit	Taylor Swift	24	2022-11-12
Question...?	Taylor Swift	32	2022-11-12
Mastermind	Taylor Swift	38	2022-11-12
Labyrinth	Taylor Swift	42	2022-11-12
Sweet Nothing	Taylor Swift	45	2022-11-12
Would've, Could've, Should've	Taylor Swift	59	2022-11-12
Bigger Than The Whole Sky	Taylor Swift	68	2022-11-12
The Great War	Taylor Swift	71	2022-11-12
Paris	Taylor Swift	73	2022-11-12
High Infidelity	Taylor Swift	79	2022-11-12
Glitch	Taylor Swift	86	2022-11-12
Dear Reader	Taylor Swift	97	2022-11-12
Anti-Hero	Taylor Swift	1	2022-11-19 00:00:00
Rich Flex	Drake & 21 Savage	2	2022-11-19 00:00:00
Major Distribution	Drake & 21 Savage	3	2022-11-19 00:00:00
On BS	Drake & 21 Savage	4	2022-11-19 00:00:00
Spin Bout U	Drake & 21 Savage	5	2022-11-19 00:00:00
Pussy & Millions	Drake & 21 Savage Featuring Travis Scott	6	2022-11-19 00:00:00
Privileged Rappers	Drake & 21 Savage	7	2022-11-19 00:00:00
Circo Loco	Drake & 21 Savage	8	2022-11-19 00:00:00
BackOutsideBoyz	Drake	9	2022-11-19 00:00:00
Unholy	Sam Smith & Kim Petras	10	2022-11-19 00:00:00
Hours In Silence	Drake & 21 Savage	11	2022-11-19 00:00:00
Broke Boys	Drake & 21 Savage	12	2022-11-19 00:00:00
Bad Habit	Steve Lacy	13	2022-11-19 00:00:00
Treacherous Twins	Drake & 21 Savage	14	2022-11-19 00:00:00
Middle Of The Ocean	Drake	15	2022-11-19 00:00:00
Jumbotron Shit Poppin	Drake	16	2022-11-19 00:00:00
As It Was	Harry Styles	17	2022-11-19 00:00:00
More M’s	Drake & 21 Savage	18	2022-11-19 00:00:00
I Guess It's Fuck Me	Drake	19	2022-11-19 00:00:00
I'm Good (Blue)	David Guetta & Bebe Rexha	20	2022-11-19 00:00:00
Super Freaky Girl	Nicki Minaj	21	2022-11-19 00:00:00
Lift Me Up	Rihanna	22	2022-11-19 00:00:00
Lavender Haze	Taylor Swift	23	2022-11-19 00:00:00
I Like You (A Happier Song)	Post Malone Featuring Doja Cat	24	2022-11-19 00:00:00
You Proof	Morgan Wallen	25	2022-11-19 00:00:00
Something In The Orange	Zach Bryan	26	2022-11-19 00:00:00
3AM On Glenwood	21 Savage	27	2022-11-19 00:00:00
I Ain't Worried	OneRepublic	28	2022-11-19 00:00:00
Vegas	Doja Cat	29	2022-11-19 00:00:00
Midnight Rain	Taylor Swift	30	2022-11-19 00:00:00
Jimmy Cooks	Drake Featuring 21 Savage	31	2022-11-19 00:00:00
Under The Influence	Chris Brown	32	2022-11-19 00:00:00
Bejeweled	Taylor Swift	33	2022-11-19 00:00:00
Die For You	The Weeknd	34	2022-11-19 00:00:00
Sunroof	Nicky Youre & dazy	35	2022-11-19 00:00:00
Maroon	Taylor Swift	36	2022-11-19 00:00:00
Wasted On You	Morgan Wallen	37	2022-11-19 00:00:00
Cuff It	Beyonce	38	2022-11-19 00:00:00
Karma	Taylor Swift	39	2022-11-19 00:00:00
Snow On The Beach	Taylor Swift Featuring Lana Del Rey	40	2022-11-19 00:00:00
Wait For U	Future Featuring Drake & Tems	41	2022-11-19 00:00:00
You're On Your Own, Kid	Taylor Swift	42	2022-11-19 00:00:00
Titi Me Pregunto	Bad Bunny	43	2022-11-19 00:00:00
Just Wanna Rock	Lil Uzi Vert	44	2022-11-19 00:00:00
The Kind Of Love We Make	Luke Combs	45	2022-11-19 00:00:00
Shirt	SZA	46	2022-11-19 00:00:00
She Had Me At Heads Carolina	Cole Swindell	47	2022-11-19 00:00:00
About Damn Time	Lizzo	48	2022-11-19 00:00:00
Tomorrow 2	GloRilla & Cardi B	49	2022-11-19 00:00:00
Unstoppable	Sia	50	2022-11-19 00:00:00
Vigilante Shit	Taylor Swift	51	2022-11-19 00:00:00
Thank God	Kane Brown With Katelyn Brown	52	2022-11-19 00:00:00
Die For You	Joji	53	2022-11-19 00:00:00
5 Foot 9	Tyler Hubbard	54	2022-11-19 00:00:00
Hold Me Closer	Elton John & Britney Spears	55	2022-11-19 00:00:00
Question...?	Taylor Swift	56	2022-11-19 00:00:00
Golden Hour	JVKE	57	2022-11-19 00:00:00
Rock And A Hard Place	Bailey Zimmerman	58	2022-11-19 00:00:00
Fall In Love	Bailey Zimmerman	59	2022-11-19 00:00:00
Half Of Me	Thomas Rhett Featuring Riley Green	60	2022-11-19 00:00:00
Made You Look	Meghan Trainor	61	2022-11-19 00:00:00
Hotel Lobby (Unc And Phew)	Quavo & Takeoff	62	2022-11-19 00:00:00
What My World Spins Around	Jordan Davis	63	2022-11-19 00:00:00
Until I Found You	Stephen Sanchez	64	2022-11-19 00:00:00
Mastermind	Taylor Swift	65	2022-11-19 00:00:00
Victoria’s Secret	Jax	66	2022-11-19 00:00:00
Labyrinth	Taylor Swift	67	2022-11-19 00:00:00
Star Walkin' (League Of Legends Worlds Anthem)	Lil Nas X	68	2022-11-19 00:00:00
Son Of A Sinner	Jelly Roll	69	2022-11-19 00:00:00
Don't Come Lookin'	Jackson Dean	70	2022-11-19 00:00:00
Sweet Nothing	Taylor Swift	71	2022-11-19 00:00:00
Romantic Homicide	d4vd	72	2022-11-19 00:00:00
California Breeze	Lil Baby	73	2022-11-19 00:00:00
Billie Eilish.	Armani White	74	2022-11-19 00:00:00
Wait In The Truck	HARDY Featuring Lainey Wilson	75	2022-11-19 00:00:00
Would've, Could've, Should've	Taylor Swift	76	2022-11-19 00:00:00
Heyy	Lil Baby	77	2022-11-19 00:00:00
Wishful Drinking	Ingrid Andress With Sam Hunt	78	2022-11-19 00:00:00
Free Mind	Tems	79	2022-11-19 00:00:00
Music For A Sushi Restaurant	Harry Styles	80	2022-11-19 00:00:00
No Se Va	Grupo Frontera	81	2022-11-19 00:00:00
Whiskey On You	Nate Smith	82	2022-11-19 00:00:00
My Mind & Me	Selena Gomez	83	2022-11-19 00:00:00
Forever	Lil Baby Featuring Fridayy	84	2022-11-19 00:00:00
Bigger Than The Whole Sky	Taylor Swift	85	2022-11-19 00:00:00
All Mine	Brent Faiyaz	86	2022-11-19 00:00:00
The Great War	Taylor Swift	87	2022-11-19 00:00:00
Calm Down	Rema & Selena Gomez	88	2022-11-19 00:00:00
Miss You	Oliver Tree & Robin Schulz	89	2022-11-19 00:00:00
Paris	Taylor Swift	90	2022-11-19 00:00:00
Last Last	Burna Boy	91	2022-11-19 00:00:00
Freestyle	Lil Baby	92	2022-11-19 00:00:00
Pick Me Up	Gabby Barrett	93	2022-11-19 00:00:00
In My Head	Juice WRLD	94	2022-11-19 00:00:00
Country On	Luke Bryan	95	2022-11-19 00:00:00
La Bachata	Manuel Turizo	96	2022-11-19 00:00:00
2 Be Loved (Am I Ready)	Lizzo	97	2022-11-19 00:00:00
High Infidelity	Taylor Swift	98	2022-11-19 00:00:00
Gotta Move On	Diddy & Bryson Tiller	99	2022-11-19 00:00:00
Staying Alive	DJ Khaled Featuring Drake & Lil Baby	100	2022-11-19 00:00:00
